"가맹점주소광역시도(SIDO)","가맹점주소시군구(SGG)","업종대분류(UPJONG_CLASS1)","기준일자(YMD)","고객주소집계구별(TOT_REG_CD)","카드이용금액계(AMT_CORR)","카드이용건수계(USECT_CORR)"
"서울","노원구","의료","20190518","1115070010309",57845,30
"경기","","전자상거래","20170308","1122060020701",140840,5
"서울","금천구","여행/교통","20180405","1106073020202",75450,5
"서울","용산구","유통","20170517","1121071010115",58348,15
"서울","영등포구","자동차","20190729","1121068020022",1060324,5
"경기","구리시","의료","20161123","1121083010007",814357,5
"서울","중구","의료","20160223","1111073040109",201200,5
"서울","구로구","미용","20210428","1124059020102",16599,5
"서울","중구","주유","20210309","1110054010002",79474,5
"서울","종로구","가전/가구","20201108","1120055030005",55330,10
"부산","부평구","의료","20180901","1122058020102",853591,5
"서울","강남구","유통","20160326","1123064020008",2052240,5
"서울","서초구","스포츠/문화/레저","20160804","1124061010014",22635,5
"인천","마포구","음/식료품","20210628","1122052030002",667481,116
